# White dwarf EOS from Helmholtz code
# Composition: abar =   13.7, zbar =    6.9
# Temperature =  1.000E+07 K
# density[g/cm^3]  pressure[dyn/cm^2]  internal energy density [erg/cm^3]
# Note internal energy density = rho e_int excludes rest mass energy contribution
   1.000000E+00   5.017139E+14   7.917134E+14
   1.023317E+00   5.128269E+14   8.084145E+14
   1.047177E+00   5.241987E+14   8.255053E+14
   1.071593E+00   5.358363E+14   8.429948E+14
   1.096579E+00   5.477466E+14   8.608924E+14
   1.122148E+00   5.599358E+14   8.792076E+14
   1.148312E+00   5.724098E+14   8.979501E+14
   1.175087E+00   5.851743E+14   9.171299E+14
   1.202486E+00   5.982353E+14   9.367573E+14
   1.230524E+00   6.115996E+14   9.568427E+14
   1.259216E+00   6.252757E+14   9.773967E+14
   1.288576E+00   6.392716E+14   9.984303E+14
   1.318621E+00   6.535934E+14   1.019955E+15
   1.349367E+00   6.682502E+14   1.041982E+15
   1.380830E+00   6.832504E+14   1.064522E+15
   1.413026E+00   6.986019E+14   1.087589E+15
   1.445973E+00   7.143121E+14   1.111194E+15
   1.479688E+00   7.303883E+14   1.135350E+15
   1.514189E+00   7.468380E+14   1.160070E+15
   1.549495E+00   7.636697E+14   1.185366E+15
   1.585624E+00   7.808942E+14   1.211253E+15
   1.622595E+00   7.985216E+14   1.237745E+15
   1.660429E+00   8.165595E+14   1.264854E+15
   1.699144E+00   8.350194E+14   1.292596E+15
   1.738762E+00   8.539119E+14   1.320986E+15
   1.779304E+00   8.732470E+14   1.350039E+15
   1.820792E+00   8.930340E+14   1.379769E+15
   1.863246E+00   9.132821E+14   1.410194E+15
   1.906691E+00   9.340006E+14   1.441328E+15
   1.951148E+00   9.552004E+14   1.473190E+15
   1.996642E+00   9.768952E+14   1.505795E+15
   2.043197E+00   9.990974E+14   1.539162E+15
   2.090838E+00   1.021817E+15   1.573307E+15
   2.139589E+00   1.045068E+15   1.608250E+15
   2.189477E+00   1.068864E+15   1.644008E+15
   2.240528E+00   1.093218E+15   1.680602E+15
   2.292769E+00   1.118141E+15   1.718050E+15
   2.346229E+00   1.143645E+15   1.756372E+15
   2.400935E+00   1.169742E+15   1.795589E+15
   2.456916E+00   1.196445E+15   1.835721E+15
   2.514203E+00   1.223772E+15   1.876791E+15
   2.572826E+00   1.251738E+15   1.918820E+15
   2.632816E+00   1.280356E+15   1.961831E+15
   2.694204E+00   1.309644E+15   2.005846E+15
   2.757023E+00   1.339619E+15   2.050888E+15
   2.821308E+00   1.370296E+15   2.096983E+15
   2.887091E+00   1.401691E+15   2.144155E+15
   2.954408E+00   1.433818E+15   2.192428E+15
   3.023295E+00   1.466691E+15   2.241829E+15
   3.093788E+00   1.500329E+15   2.292384E+15
   3.165924E+00   1.534753E+15   2.344120E+15
   3.239743E+00   1.569982E+15   2.397065E+15
   3.315282E+00   1.606033E+15   2.451247E+15
   3.392583E+00   1.642928E+15   2.506694E+15
   3.471687E+00   1.680689E+15   2.563437E+15
   3.552635E+00   1.719336E+15   2.621506E+15
   3.635470E+00   1.758886E+15   2.680932E+15
   3.720237E+00   1.799359E+15   2.741746E+15
   3.806980E+00   1.840773E+15   2.803982E+15
   3.895745E+00   1.883151E+15   2.867672E+15
   3.986581E+00   1.926519E+15   2.932851E+15
   4.079535E+00   1.970903E+15   2.999553E+15
   4.174655E+00   2.016322E+15   3.067814E+15
   4.271994E+00   2.062805E+15   3.137671E+15
   4.371602E+00   2.110380E+15   3.209161E+15
   4.473533E+00   2.159071E+15   3.282323E+15
   4.577840E+00   2.208901E+15   3.357195E+15
   4.684580E+00   2.259895E+15   3.433817E+15
   4.793808E+00   2.312075E+15   3.512232E+15
   4.905584E+00   2.365470E+15   3.592480E+15
   5.019965E+00   2.420114E+15   3.674605E+15
   5.137014E+00   2.476038E+15   3.758650E+15
   5.256791E+00   2.533267E+15   3.844662E+15
   5.379362E+00   2.591838E+15   3.932685E+15
   5.504790E+00   2.651786E+15   4.022767E+15
   5.633143E+00   2.713140E+15   4.114957E+15
   5.764488E+00   2.775932E+15   4.209304E+15
   5.898896E+00   2.840190E+15   4.305858E+15
   6.036438E+00   2.905945E+15   4.404672E+15
   6.177187E+00   2.973231E+15   4.505798E+15
   6.321218E+00   3.042093E+15   4.609291E+15
   6.468607E+00   3.112569E+15   4.715207E+15
   6.619434E+00   3.184692E+15   4.823603E+15
   6.773776E+00   3.258508E+15   4.934535E+15
   6.931718E+00   3.334058E+15   5.048065E+15
   7.093341E+00   3.411384E+15   5.164253E+15
   7.258734E+00   3.490523E+15   5.283162E+15
   7.427983E+00   3.571511E+15   5.404856E+15
   7.601178E+00   3.654388E+15   5.529400E+15
   7.778411E+00   3.739197E+15   5.656861E+15
   7.959777E+00   3.825994E+15   5.787309E+15
   8.145371E+00   3.914827E+15   5.920813E+15
   8.335293E+00   4.005738E+15   6.057445E+15
   8.529644E+00   4.098784E+15   6.197279E+15
   8.728527E+00   4.194022E+15   6.340392E+15
   8.932047E+00   4.291498E+15   6.486858E+15
   9.140311E+00   4.391263E+15   6.636758E+15
   9.353432E+00   4.493361E+15   6.790172E+15
   9.571522E+00   4.597843E+15   6.947184E+15
   9.794697E+00   4.704764E+15   7.107879E+15
   1.002308E+01   4.814194E+15   7.272342E+15
   1.025678E+01   4.926194E+15   7.440664E+15
   1.049593E+01   5.040818E+15   7.612935E+15
   1.074066E+01   5.158138E+15   7.789248E+15
   1.099110E+01   5.278223E+15   7.969699E+15
   1.124737E+01   5.401136E+15   8.154386E+15
   1.150962E+01   5.526938E+15   8.343409E+15
   1.177799E+01   5.655689E+15   8.536871E+15
   1.205261E+01   5.787447E+15   8.734875E+15
   1.233364E+01   5.922287E+15   8.937530E+15
   1.262121E+01   6.060296E+15   9.144945E+15
   1.291550E+01   6.201551E+15   9.357234E+15
   1.321664E+01   6.346121E+15   9.574511E+15
   1.352481E+01   6.494096E+15   9.796895E+15
   1.384016E+01   6.645565E+15   1.002451E+16
   1.416287E+01   6.800608E+15   1.025747E+16
   1.449310E+01   6.959300E+15   1.049591E+16
   1.483102E+01   7.121716E+15   1.073996E+16
   1.517683E+01   7.287937E+15   1.098976E+16
   1.553071E+01   7.458052E+15   1.124543E+16
   1.589283E+01   7.632172E+15   1.150712E+16
   1.626340E+01   7.810396E+15   1.177497E+16
   1.664260E+01   7.992810E+15   1.204912E+16
   1.703065E+01   8.179531E+15   1.232973E+16
   1.742775E+01   8.370669E+15   1.261696E+16
   1.783410E+01   8.566325E+15   1.291095E+16
   1.824993E+01   8.766597E+15   1.321187E+16
   1.867546E+01   8.971580E+15   1.351988E+16
   1.911091E+01   9.181375E+15   1.383516E+16
   1.955651E+01   9.396095E+15   1.415787E+16
   2.001250E+01   9.615885E+15   1.448819E+16
   2.047912E+01   9.840867E+15   1.482631E+16
   2.095662E+01   1.007115E+16   1.517242E+16
   2.144526E+01   1.030689E+16   1.552669E+16
   2.194529E+01   1.054821E+16   1.588933E+16
   2.245698E+01   1.079526E+16   1.626054E+16
   2.298060E+01   1.104815E+16   1.664053E+16
   2.351642E+01   1.130701E+16   1.702949E+16
   2.406476E+01   1.157196E+16   1.742766E+16
   2.462586E+01   1.184315E+16   1.783524E+16
   2.520005E+01   1.212076E+16   1.825247E+16
   2.578763E+01   1.240495E+16   1.867957E+16
   2.638891E+01   1.269585E+16   1.911679E+16
   2.700421E+01   1.299367E+16   1.956436E+16
   2.763386E+01   1.329857E+16   2.002254E+16
   2.827818E+01   1.361072E+16   2.049158E+16
   2.893753E+01   1.393028E+16   2.097174E+16
   2.961226E+01   1.425740E+16   2.146329E+16
   3.030271E+01   1.459226E+16   2.196650E+16
   3.100927E+01   1.493502E+16   2.248167E+16
   3.173230E+01   1.528594E+16   2.300907E+16
   3.247218E+01   1.564519E+16   2.354900E+16
   3.322932E+01   1.601298E+16   2.410176E+16
   3.400412E+01   1.638954E+16   2.466767E+16
   3.479698E+01   1.677509E+16   2.524704E+16
   3.560832E+01   1.716984E+16   2.584020E+16
   3.643859E+01   1.757401E+16   2.644749E+16
   3.728821E+01   1.798778E+16   2.706925E+16
   3.815764E+01   1.841137E+16   2.770582E+16
   3.904735E+01   1.884501E+16   2.835758E+16
   3.995780E+01   1.928902E+16   2.902489E+16
   4.088948E+01   1.974363E+16   2.970813E+16
   4.184288E+01   2.020908E+16   3.040769E+16
   4.281852E+01   2.068570E+16   3.112397E+16
   4.381691E+01   2.117374E+16   3.185737E+16
   4.483857E+01   2.167350E+16   3.260832E+16
   4.588405E+01   2.218524E+16   3.337725E+16
   4.695391E+01   2.270920E+16   3.416459E+16
   4.804871E+01   2.324566E+16   3.497080E+16
   4.916904E+01   2.379493E+16   3.579634E+16
   5.031549E+01   2.435740E+16   3.664170E+16
   5.148868E+01   2.493338E+16   3.750735E+16
   5.268922E+01   2.552318E+16   3.839380E+16
   5.391775E+01   2.612720E+16   3.930157E+16
   5.517492E+01   2.674580E+16   4.023117E+16
